YLR354C,YJL107C,YDR326C,YGR241C
YBR063C,YFR011C,YLL042C,YLR015W
YOR066W,YOR142W,YJR031C,YBL068W
YGL004C,YGR247W,YPR077C,YBR128C
YGL061C,YJR123W,YEL004W,YCR038C
YNL228W,YKR068C,YDR293C,YLR278C
YER007W,YNL199C,YJR144W,YPL267W
YLR416C,YPR143W,YLL060C,YJR127C
YDR084C,YMR147W,YLR427W,YBR083W
YJL052W,YKL093W,YOL070C,YPL102C
YOR187W,YLR168C,YJL118W,YGL184C
YBR017C,YJL034W,YLR249W,YJL203W
YBR286W,YNL275W,YDR030C,YHR212W-A
YKL175W,YLR209C,YAL024C,YER163C
YHR158C,YBR025C,YDL140C,YLR246W
YMR195W,YNL238W,YPL180W,YJL198W
YDL037C,YDR484W,YMR187C,YDL069C
YLR243W,YIL140W,YIL157C,YOR119C
YBL104C,YML016C,YDR023W,YDR227W
YDR131C,YJL054W,YNL312W,YGR157W
YHR087W,YLR215C,YJR065C,YDR532C
YMR196W,YCR027C,YML089C,YDL198C
YMR322C,YDL027C,YFL018C,YDL056W
YPL149W,YMR152W,YJL123C,YDR013W
YCL011C,YNR027W,YLR295C,YGL009C
YIR038C,YDR195W,YDL138W,YBR127C
YOR335C,YMR238W,YDR331W,YPR001W
YPL140C,YKL081W,YJL015C,YDR412W
YDR445C,YMR045C,YNL096C,YJL019W
YHR112C,YKL078W,YKR096W,YGR100W
YDR490C,YIR008C,YLR298C,YHR047C
YKL003C,YAL060W,YOL102C,YER083C
YKL134C,YGR038W,YML091C,YNL049C
YDL196W,YBR195C,YDR456W,YLR328W
YMR212C,YJL011C,YOL021C,YER121W
YDR156W,YOR262W,YGL153W,YOL008W
YLR208W,YLR379W,YDL078C,YOR312C
YML130C,YBL099W,YHR167W,YMR105C
YDR164C,YGL124C,YDL093W,YEL009C
YBR194W,YDL207W,YNR034W,YOR192C
YNL023C,YIL082W-A,YDR487C,YJL035C
YNL126W,YGL244W,YOR310C,YOR008C
YFL022C,YLR443W,YPL121C,YPL087W
YER188W,YBR285W,YJL153C,YER010C
YLR003C,YBR061C,YBR120C,YMR067C
YML008C,YDL127W,YBR241C,YMR009W
YGR108W,YBR207W,YPL231W,YNL054W
YOR353C,YIL148W,YJL076W,YDL074C
YGR101W,YDR382W,YOL156W,YHR133C
YLR406C,YGR224W,YOR190W,YDR473C
YKR031C,YBR291C,YLL050C,YPR114W
YAL026C,YGL134W,YEL024W,YDR277C
YDR041W,YDR503C,YOR390W,YDR283C
YFL015C,YIL040W,YNL037C,YDR202C
YGR168C,YGR181W,YAR014C,YHR186C
YBL003C,YMR127C,YOL067C,YBL088C
YGR220C,YBL084C,YGR109C,YKR021W
YDL013W,YPL078C,YPL209C,YIR003W
YNL329C,YAR064W,YPR084W,YFR053C
YPL016W,YJR041C,YGL254W,YJR062C
YIL060W,YPL262W,YLR288C,YKR084C
YOR028C,YKL063C,YLR300W,YOL045W
YOR360C,YGL128C,YCL035C,YDR069C
YPR102C,YBL023C,YBL091C,YOR180C
YNL028W,YML070W,YMR172W,YNL293W
YEL069C,YGR014W,YBR253W,YOR290C
YGL098W,YJL036W,YOR215C,YPR086W
YMR138W,YLR257W,YNL291C,YHR120W
YDR267C,YPL008W,YPR104C,YMR314W
YPL220W,YOR350C,YLR293C,YJR094C
YIR024C,YNL258C,YAL033W,YHR194W
YOL111C,YLL010C,YGR178C,YHR175W
YGR205W,YPR058W,YDR184C,YMR214W
YHR080C,YDL042C,YLL032C,YIL010W
YBR115C,YPL163C,YBR213W,YBR123C
YFR008W,YNL072W,YER156C,YML001W
YOR005C,YDR444W,YAR068W,YDR022C
YCR040W,YLR254C,YDL158C,YNL290W
YJR037W,YDR181C,YCL052C,YOL015W
YLR021W,YAL055W,YBL050W,YDR207C
YMR219W,YFL010C,YBL014C,YBR073W
YIL085C,YER111C,YBR116C,YOR243C
YPR097W,YFR031C,YGL151W,YDR425W
YOR130C,YLR137W,YER011W,YGL223C
